timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1519294750318266,23,16,10,9,10,17,12,15
1519294750318266,18,21,20,18,19,18,12,13
1519294750325285,-43,-40,-34,-27,-24,-33,-27,-32
1519294750325285,40,39,35,31,24,32,27,31
1519294750332303,-13,-14,-11,0,-6,-7,-7,-8
1519294750332303,-40,-42,-37,-54,-30,-33,-27,-28
1519294750340326,45,51,38,31,27,35,32,35
1519294750340326,-22,-25,-17,-13,-10,-16,-16,-16
1519294750356367,-14,-14,-15,-15,-31,-16,-11,-10
1519294750356367,8,12,13,15,7,5,7,6
1519294750362384,6,0,-1,1,4,3,1,3
1519294750362384,3,5,3,0,-8,0,-1,1
1519294750377424,-18,-11,-7,-44,-24,-17,-9,-13
1519294750377424,19,16,14,25,15,17,10,12
1519294750385444,2,0,5,3,-3,2,0,2
1519294750385444,-25,-25,-24,-11,-18,-22,-17,-20
1519294750409508,26,29,13,29,29,24,20,21
1519294750409508,-8,-7,1,-13,-11,-4,-5,-5
1519294750415525,-14,-16,-12,-1,-11,-13,-10,-9
1519294750415525,9,11,2,0,13,5,6,8
1519294750430586,-6,-9,-4,0,3,-4,-5,-6
1519294750430586,1,-2,-5,-2,-1,-2,-1,-1
1519294750438586,-3,-2,0,23,2,-3,0,-2
1519294750438586,1,-2,3,-23,-13,-2,-2,0
1519294750444603,9,11,3,8,14,10,6,5
1519294750444603,-11,-12,-16,-8,-7,-11,-7,-7
1519294750452656,14,13,16,8,7,12,7,9
1519294750452656,-7,-6,-11,1,-1,-5,-3,-3
1519294750462651,-12,-13,1,-7,-6,-9,-8,-9
1519294750462651,15,16,12,13,11,12,9,10
1519294750467696,-10,-11,-14,-19,-3,-6,-6,-8
1519294750467696,-6,-7,-8,0,-2,-3,-3,-5
1519294750482754,6,5,3,18,11,1,2,5
1519294750482754,-5,-7,5,-11,-10,-4,-5,-4
1519294750489723,6,8,-1,-6,3,5,2,4
1519294750489723,-4,-3,0,-2,4,-3,-1,-3
1519294750497744,3,2,0,23,0,4,1,3
1519294750497744,1,-1,-4,-14,-15,-6,1,-2
1519294750507771,-10,-12,-10,-13,-9,-10,-8,-8
1519294750507771,15,15,14,16,12,17,12,10
1519294750519803,-9,-10,-12,-12,-5,-9,-8,-7
1519294750519803,-7,-6,-1,5,-2,-8,-6,-4
1519294750527824,8,9,10,4,6,8,7,6
1519294750527824,-9,-8,-9,-2,-4,-5,-6,-7
1519294750542864,3,4,5,-2,-1,0,1,1
1519294750542864,-1,2,-1,-5,10,-1,-1,-1
1519294750549909,-3,-8,-7,-1,-5,-1,-3,-3
1519294750549909,2,2,2,0,-8,0,0,1
1519294750560914,-11,-10,1,-14,-14,-6,-6,-9
1519294750560914,15,12,9,19,24,12,9,10
1519294750564961,-9,-9,-10,4,-3,-9,-7,-6
1519294750564961,-9,-13,-12,-47,-8,-8,-8,-9
1519294750579964,12,13,10,17,8,10,9,9
1519294750579964,-12,-13,-12,-16,-14,-7,-9,-11
1519294750588022,5,8,6,4,1,4,4,3
1519294750588022,1,1,6,13,7,0,2,1
1519294750603025,-4,-5,-8,-6,-6,-3,-3,-4
1519294750603025,2,4,8,7,7,3,2,1
1519294750611046,-8,-5,-9,-7,-23,-12,-7,-5
1519294750611046,11,8,2,11,20,15,8,7
1519294750632139,-17,-26,-14,-16,-26,-17,-16,-15
1519294750632139,-22,-25,-16,-18,-23,-19,-17,-18
1519294750640133,5,14,9,21,21,6,6,5
1519294750640133,5,-1,1,6,14,10,2,3
1519294750655162,12,14,9,-4,-23,3,6,6
1519294750655162,-24,-22,-21,-39,-12,-20,-14,-17
1519294750670202,-32,-32,-27,-10,-12,-24,-19,-22
1519294750670202,45,47,35,42,32,37,31,33
1519294750677244,-21,-21,-16,-26,-19,-18,-14,-15
1519294750677244,-17,-18,-17,-11,-17,-13,-12,-15
1519294750685295,19,24,22,16,21,15,16,16
1519294750685295,-3,-9,-4,2,-8,-4,-5,-3
1519294750692260,-6,-7,-8,9,2,-1,-4,-5
1519294750692260,-9,-6,-7,-34,-13,-6,-5,-7
1519294750707352,-17,-19,-19,-14,-12,-17,-13,-15
1519294750707352,19,20,21,21,17,17,13,15
1519294750722385,-3,-2,-5,-4,7,0,-2,-3
1519294750722385,-14,-17,-10,-7,-30,-12,-11,-11
1519294750730362,14,16,13,5,9,10,10,10
1519294750730362,-9,-12,-15,-1,-10,-11,-8,-8
1519294750737383,-4,-2,0,-2,9,0,-5,-3
1519294750737383,3,6,6,6,-3,1,3,4
1519294750745402,-1,-5,-5,-5,8,-3,-1,-2
1519294750745402,2,3,4,10,0,2,1,2
1519294750760445,-6,-5,-14,-1,-3,-5,-3,-5
1519294750760445,5,5,12,-4,8,5,4,3
1519294750767463,-2,-2,-6,13,0,3,-1,-1
1519294750767463,-12,-10,-1,-5,-9,-10,-9,-9
1519294750782503,17,19,6,4,5,13,11,12
1519294750782503,-9,-10,-9,-2,0,-4,-6,-8
1519294750790558,-8,-10,-2,-6,-14,-10,-7,-7
1519294750790558,8,11,6,10,19,8,7,6
1519294750797542,-7,-11,-8,5,-16,-2,-3,-6
1519294750797542,4,5,1,13,7,-5,1,3
1519294750804598,-1,0,0,-9,9,4,-1,-2
1519294750804598,2,-3,-6,-2,0,-2,0,1
1519294750819600,3,4,15,1,2,-1,2,1
1519294750819600,-8,-8,-15,-9,4,-2,-5,-5
1519294750827625,10,11,17,-1,-5,6,8,8
1519294750827625,-10,-10,-13,-5,-1,-10,-6,-7
1519294750842662,-12,-13,-9,7,-1,-9,-7,-9
1519294750842662,12,12,8,-42,2,7,6,6
1519294750849681,-14,-12,-11,-9,-8,-5,-7,-8
1519294750849681,5,5,2,4,1,3,4,2
1519294750857751,4,6,0,4,-1,0,4,4
1519294750857751,-5,-6,-1,7,-5,0,-4,-2
1519294750864756,2,5,-1,5,7,3,3,4
1519294750864756,-6,-6,0,-6,-1,-4,-5,-7
1519294750879761,9,8,7,-15,-7,5,2,7
1519294750879761,-8,-8,-12,1,1,-5,-4,-5
1519294750887818,-11,-15,-8,-5,-12,-15,-9,-11
1519294750887818,13,14,10,13,3,10,7,10
1519294750917892,-9,-12,-10,-9,-6,-9,-8,-8
1519294750917892,0,0,3,4,4,-1,-2,-3
1519294750924922,7,7,-1,10,6,4,4,6
1519294750924922,-10,-11,-3,0,-14,-7,-6,-7
1519294750932932,10,11,14,-25,8,5,6,7
1519294750932932,-7,-2,0,-1,-11,-6,-5,-6
1519294750939919,11,7,11,8,-1,8,5,6
1519294750939919,-5,-6,-10,-3,-4,-8,-3,-5
1519294750963022,-11,-13,-9,-19,-18,-11,-10,-10
1519294750963022,-7,-5,-3,-9,-3,-7,-6,-5
1519294750970038,7,8,7,14,28,10,7,5
1519294750970038,-11,-14,-11,-6,-12,-11,-9,-8
1519294750977019,11,14,6,6,4,7,6,6
1519294750977019,0,-2,-2,-3,0,0,0,-1
1519294750985078,4,3,2,5,-4,6,1,1
1519294750985078,-2,-1,-3,7,7,0,-1,-2
1519294750992059,-12,-14,-13,-2,-9,-10,-8,-9
1519294750992059,16,17,15,-4,9,13,11,12
1519294751007098,9,9,6,14,11,2,5,5
1519294751007098,-9,-10,-9,-4,-13,-8,-8,-8
1519294751022138,2,4,1,13,9,4,5,4
1519294751022138,0,3,0,-11,-25,-1,2,1
1519294751030160,-2,-3,0,-9,18,0,-3,-2
1519294751030160,2,5,5,0,1,-2,0,2
1519294751037179,-10,-13,-12,0,-11,-11,-9,-8
1519294751037179,18,14,14,6,10,13,9,11
1519294751045200,-13,-12,-20,-13,-17,-8,-8,-8
1519294751045200,-7,-10,-10,0,-8,-5,-8,-6
1519294751060239,12,16,19,13,14,12,9,10
1519294751060239,-10,-13,-13,-4,0,-8,-8,-9
1519294751068260,3,5,10,4,-3,3,4,3
1519294751068260,2,2,0,-1,6,2,3,1
1519294751083330,-5,-6,-13,-8,-13,-2,-4,-3
1519294751083330,4,6,11,10,9,-3,2,1
1519294751089857,-9,-9,-8,-14,-8,-6,-8,-6
1519294751089857,12,10,8,8,6,9,10,9
1519294751097632,-10,-10,-2,-5,-7,-9,-6,-8
1519294751097632,-12,-12,-14,-14,-10,-10,-8,-8
1519294751105773,13,12,12,4,12,12,7,9
1519294751105773,-13,-14,-10,-10,-13,-12,-11,-11
1519294751120792,6,6,-3,0,-1,3,4,3
1519294751120792,3,7,7,2,24,9,3,2
1519294751127723,-4,-7,-6,4,-16,-8,-5,-3
1519294751127723,2,4,1,-33,-3,3,2,1
1519294751142752,-9,-7,-2,0,-4,-7,-7,-6
1519294751142752,11,10,7,19,16,12,6,7
1519294751150773,-11,-9,-5,-11,-23,-12,-8,-9
1519294751150773,-12,-11,-12,13,-6,-10,-8,-8
1519294751157792,15,13,6,-1,24,15,8,8
1519294751157792,-13,-14,-8,-21,-20,-12,-10,-12
1519294751165060,5,2,0,10,2,2,2,0
1519294751165060,8,11,18,11,10,6,5,7
1519294751179895,-8,-9,-17,-6,-13,-6,-7,-6
1519294751179895,8,10,12,20,-3,5,6,5
1519294751187874,-7,-6,-8,-44,7,-6,-4,-5
1519294751187874,10,7,7,9,12,12,5,8
1519294751202918,-6,-6,-9,-6,-12,-9,-3,-5
1519294751202918,-12,-13,-10,-6,-5,-11,-8,-8
1519294751210291,13,14,10,8,-1,12,9,9
1519294751210291,-12,-14,-1,-8,-11,-12,-10,-10
1519294751217552,-3,-4,-2,-4,-10,-6,-4,-4
1519294751217552,6,7,-3,1,6,10,6,6
1519294751233285,-12,-14,1,1,2,-8,-10,-8
1519294751233285,11,14,-1,12,5,7,7,6
1519294751240522,-1,-4,-6,-20,-3,-2,-2,-3
1519294751240522,6,5,-2,0,4,5,1,4
1519294751255561,-4,-2,-1,-9,5,2,-1,-1
1519294751255561,-12,-13,-10,-5,-23,-14,-9,-10
1519294751270349,15,16,20,19,14,15,9,12
1519294751270349,-12,-13,-8,0,-4,-10,-9,-10
1519294751285389,-9,-10,-1,-3,-5,-7,-8,-7
1519294751285389,8,7,8,14,15,7,4,6
1519294751300716,2,5,3,20,-2,-3,0,-2
1519294751300716,0,-2,-2,-9,7,6,-1,-2
1519294751307729,-2,1,-2,-2,-3,1,-2,0
1519294751307729,-11,-13,-8,-15,-22,-12,-7,-8
1519294751322772,-8,-7,-7,-1,-13,-7,-6,-5
1519294751322772,10,13,8,5,11,11,8,7
1519294751337558,0,2,-7,2,-8,-1,1,-1
1519294751337558,-3,-7,-6,-7,-6,-2,-4,-4
1519294751352721,3,5,7,6,8,3,2,1
1519294751352721,-10,-9,-9,-11,-1,-8,-6,-8
1519294751359614,14,12,9,9,1,8,9,11
1519294751359614,-12,-8,-4,-9,-5,-9,-8,-8
1519294751374654,-10,-12,-19,-7,-5,-5,-6,-8
1519294751374654,14,13,21,13,19,10,10,10
1519294751382909,-7,-9,-9,-5,-15,-8,-6,-9
1519294751382909,6,7,4,-8,10,6,6,3
1519294751397967,4,4,2,6,12,3,2,2
1519294751397967,-7,-6,-4,-5,-4,-7,-5,-4
1519294751413013,10,12,9,7,9,12,6,9
1519294751413013,-11,-11,-11,-9,-8,-11,-7,-9
1519294751420027,-13,-15,-9,-2,-6,-9,-8,-9
1519294751420027,12,14,16,-27,0,11,8,10
1519294751435070,-15,-15,-19,-5,-12,-12,-9,-12
1519294751435070,5,6,-1,-2,-11,0,0,4
1519294751443087,6,9,11,1,18,11,5,5
1519294751443087,-7,-10,-4,13,-2,-3,-6,-6
1519294751458187,7,6,2,1,1,8,4,6
1519294751458187,-8,-8,-9,4,-4,-10,-7,-6
1519294751472229,-11,-11,-11,-23,1,-5,-9,-10
1519294751472229,13,13,13,19,1,8,7,8
1519294751480251,-11,-13,-7,-13,-17,-11,-8,-9
