timestamp,x,y,z
1519294750137786,0.125,-0.0625,0.0625
1519294750170875,0.5,-0.1875,-0.0625
1519294750174885,0.375,0.0625,0.125
1519294750200980,-0.125,0.0625,0.0625
1519294750220007,-0.25,0.0625,0.0625
1519294750235046,0.0625,-0.0625,-0.0625
1519294750261114,-0.375,0,0.0625
1519294750304229,-1.0625,0.1875,0.1875
1519294750311248,-0.75,-0.0625,0.0625
1519294750351355,0,0.125,0.0625
1519294750370405,0.0625,-0.0625,-0.0625
1519294750400484,0.375,0.0625,0
1519294750422544,-0.75,0.25,0.0625
1519294750474733,-0.625,0.125,-0.25
1519294750512784,0.5625,0.3125,0.0625
1519294750534842,-1.375,0.1875,0
1519294750572946,0.5625,-0.375,0.125
1519294750595022,0,-0.125,0.3125
1519294750618068,-0.375,-0.0625,0.3125
1519294750625110,0.1875,-0.3125,0.3125
1519294750662183,0.25,0.125,0.25
1519294750700333,-0.875,0.1875,0.0625
1519294750715377,-0.875,0.3125,-0.0625
1519294750752424,-1.25,0.0625,0.0625
1519294750775484,-0.1875,0,0.125
1519294750812594,0,0.125,0.0625
1519294750834641,-0.1875,0.0625,0
1519294750872791,-0.25,0.1875,-0.0625
1519294750902861,0.125,-0.0625,0.0625
1519294750954960,0,0,0.375
1519294751000081,-0.5,0,0.0625
1519294751015133,-0.9375,0.125,0.0625
1519294751053280,-0.5625,0,0.125
1519294751075280,-0.5625,0.0625,0.1875
1519294751112728,-0.3125,-0.125,0.0625
1519294751135823,-0.25,-0.0625,0.0625
1519294751172864,0,0.1875,0
1519294751194890,-0.8125,0,0.0625
1519294751225465,0.625,-0.1875,0.0625
1519294751247544,-0.25,0.0625,0.0625
1519294751277365,-0.875,0.125,0.0625
1519294751292692,-0.125,-0.3125,0.0625
1519294751315749,0.375,-0.625,0.125
1519294751330537,0,-0.125,0.375
1519294751345592,0,-0.125,0.375
1519294751367635,-0.25,-0.125,0.125
1519294751390832,0.1875,-0.1875,0.125
1519294751405797,-0.4375,0.0625,0.1875
1519294751427795,-0.9375,0.1875,0
1519294751450856,-0.8125,0.375,0
1519294751465468,-0.9375,0.3125,0.0625
1519294751487274,-0.5625,0.0625,0
1519294751510329,-0.25,0,0.125
1519294751525370,-0.3125,0.0625,0
1519294751547427,-0.125,0.0625,0.0625
1519294751570487,0.125,0.0625,-0.0625
1519294751584748,-0.125,0.0625,-0.0625
1519294751607636,-0.125,0.125,0
1519294751629953,0.375,-0.0625,0.125
1519294751653081,0.3125,-0.3125,0.1875
1519294751668048,0.1875,-0.0625,0.0625
1519294751690897,-0.1875,-0.125,0.125
1519294751713162,-0.9375,0.0625,0.125
1519294751727951,-0.25,0.125,0.0625
1519294751750005,-0.125,0.125,0.0625
1519294751773120,-0.1875,0.125,0.0625
1519294751788108,-0.4375,-0.0625,0
1519294751817187,-0.4375,-0.0625,-0.0625
1519294751840597,0.0625,-0.1875,-0.125
1519294751855659,0.5625,0.1875,-0.0625
1519294751870360,-0.0625,0,-0.0625
1519294751893428,0.0625,0,-0.25
1519294751915706,0.1875,0.0625,-0.25
1519294751937893,-0.125,0.125,0.0625
1519294751967952,1.25,0,0.125
1519294751990015,-0.75,0,0.375
1519294752013345,-2.125,0,0.3125
1519294752027399,-0.3125,-0.125,0.4375
1519294752057700,-1.5625,-0.125,0.5625
1519294752080797,-2.375,-0.375,1.5
1519294752095773,-4,-0.5,2.8125
1519294752110170,-9.875,-1.75,5.5
1519294752133348,-22.8125,-2.4375,8.375
1519294752155700,-23.5,-0.5,9.75
1519294752177516,-23.3125,3,9.3125
